title,blurb
"Colombia River Stories Datasets Archive, 1994-2020","<p>The goal of the project is the environmental monitoring of water resources using an innovative and multi-disciplinary methodology that brings social scientists and natural scientists together - integrating their research methods and techniques to capture human stories through community-level\, participatory research and the river&#39;s story through field-based scientific monitoring and environmental reconstruction and mapping. The social science data of the project includes in-depth life history style interviews with individuals from the Afro-Colombian and Indigenous communities of the Atrato. The project used purposive sampling\, recruiting participants through local contacts and then &lsquo;snowballing&rsquo; for additional participants. As part of our citizen science programme\, monitoring of the Rio Quito was carried out on a weekly basis by a local community. The monitoring consisted of measurement of in-situ parameters (turbidity\, pH\, conductivity\, dissolved oxygen and temperature) and water sampling of Rio Quito. They also monitored the bacterial contamination of their drinking water. The hydrogeochemical data sets were based on a range of analytical results carried out on water (river and rain) and soil (riverbank and river bottom) samples\, predominantly from the Rio Quito and the town of Quibdo. The parameters being acquired were the water temperature\, pH\, specific electrical conductivity (SEC)\, total dissolved solids (TDS)\, oxidation reduction potential (ORP)\, dissolved oxygen (DO)\, alkalinity\, major anion and cations\, water stable isotopes and suite of dissolved and total metals in water. The satellite images archive consists of temporal satellite images between 1994- 2020 that were pre-processed and processed in order to highlight changes that were observed along the river bank due to anthropogenic action. A temporal change detection analysis has been evaluated by highlighting the observed changes through time. Atrato Subcatchment Sediment Load Estimation &amp; analysis of mining impacts on the planform of the Rio Quito quantifies the ways and extent to which alluvial gold mining in the Choc&oacute; has impacted the geomorphological form and function of the rivers in which it occurs. It specifically focusses on the assessment of mining impacts on: 1. total river sediment loads; 2. river suspended sediment concentration and turbidity; 3. river channel planform. The results presented contribute to the wider project objective of understanding the ways in which mining-driven changes to river form and function intersect with\, and influence\, the socio-economic\, social-political\, and socio-cultural systems that drive alluvial gold mining and conflict in the Choc&oacute;.</p>\r\n\r\n<p>Colombia is in the process of transitioning from one of the most protracted civil conflicts in the world to peace. However\, one of the major societal issues for post-conflict transitions in Colombia is how to ensure the inclusion and participation of vulnerable and marginalised groups in transition processes so that their knowledges\, abilities and capacities are represented\, and so that they can influence post-conflict development. This raises questions of how innovative community- engaged and participatory processes can achieve greater inclusivity in peace building processes. It also raises the question of how different conflict actors can be encouraged and facilitated to articulate their knowledge and experience of conflict in ways that enable their actions to be explained to one another\, and that support a shift from narrow understandings of the causes of conflict based on personal experience to more expansive understandings that are based on collective experiences. In this research\, we focus on riverine communities along the Atrato River - the main artery of Choco. These communities have been deeply impacted by armed actors who are engaged in widespread\, illegal alluvial gold mining which is a key factor in their forced displacement and the loss of traditional\, sustainable livelihoods. Despite a 2017 Colombian Constitutional Court ruling to empower riverine communities with &#39;bio-cultural rights&#39; that protect their land title and livelihoods\, they remain marginalised. They struggle to make their voices heard and to influence and inform peace building processes. This marginalisation has also been experienced by the river itself\, whose voice has been silenced through the abandonment of state-sponsored environmental monitoring programmes at the height of the conflict. As a result\, the effects of conflict and alluvial mining on the form and function of the river\, and the impacts of these on interactions between armed actors\, the river\, and the communities it sustains are poorly understood. This will only be addressed if marginalised voices of communities and the river are articulated and amplified so that their knowledges\, abilities and capacities can be integrated into sustainable peace building processes. Achieving this is the primary aim of this project. Conceptually\, our project builds on a key emphasis of peace processes worldwide: the capture and re-telling of testimony so that conflict actors can better appreciate the complexities of the conflict in which they are engaged\, and the inter-relationships and feedbacks between their actions\, and those of others\, which fuel the conflict. Such knowledge is a fundamental precursor to the development of sustainable and feasible strategies for peace. The project is structured and designed to elicit\, analyse and co-produce testimonies as an integrated &#39;river story&#39;\, sourced from multiple participants and perspectives - including marginalised human actors and the river itself. The project therefore uses an innovative and multi- disciplinary methodology that brings social scientists and natural scientists together - integrating their research methods and techniques to capture human stories through community-level\, participatory research and the river&#39;s story through field- based scientific monitoring and environmental reconstruction and mapping. The story books that are produced\, and the policy briefs that they underpin\, will be the vehicles through which policy-makers are bought into dialogue with the marginalised voices of both riverine communities and the river itself\, and thorough which they improved understandings of the key actors and drivers of conflict in Choco&#39; and the priorities and strategies for sustainable peace building\, will be gained. To obtain a free account please <a href=""https://libguides.princeton.edu/UKDS"">register</a> with the UKDA.</p>\r\n"
"Water Quality Model Outputs for an Urban River in Birmingham, 2013-2014","<p>An hourly dynamic model was set up to simulate the water quality along a 12 km stretch of an urban river in Birmingham (River Rea). The model was tested over a two year period and then used to simulate the beneficial impact of establishing tree coverage either uniformly within the catchment area or targeted along the river banks. In achieving this\, the process-based approach represents (1) the impacts of pollutant uptake from runoff by trees and (2) the light attenuation by canopies reducing the solar radiation reaching the water column which cools the river and slows down eutrophication and oxygen consumption. See metadata file for specific details.</p>\r\n\r\n<p>Global ambitions to reduce environmental impacts of cities through sustainable urbanisation are likely to be undermined under future climate conditions. There is an urgent need to consider proposed solutions in an integrated manner in terms of the resulting air\, soil and water quality\, to evaluate the consequences for ecosystem services\, and to make the assessments at both local and regional scales. In urban environments increasingly vulnerable to climate change\, it is argued that the process of planning effective mitigation (for example of flooding) must include assessment of a range of innovative nature-based and technical-natural solutions evaluated against multiple criteria. Whilst specific solutions might be beneficial at small scale in single domains\, what is less tractable are the likely co-benefits or trade-offs in other domains or within a wider urban and peri-urban context. The benefits to people come about through flows of air and water through urban landscapes\, so understanding scale and context for both social and natural systems are essential to effective planning for liveable cities. Our project focuses on identifying holistic multi-domain solutions and evaluating their overall effectiveness at various scales in case study systems\, primarily in China but also in Europe. It will make use of new and existing case studies to evaluate what leads to successful interventions\, and the role of business and society in this. It is an integrated business-research collaboration comprising a collaborative process of learning. Refinement of our research tools will be actively driven through innovative environmental initiatives from the business sector. From that\, an iterative process further stimulating innovation will be fostered by the project.</p>\r\n"
"Stakeholder Workshops on Floods and Droughts Adaptation in the Limpopo River Basin, 2021-2022","<p>The collection contains a summary of the stakeholder interactive sessions on floods and droughts adaptation in the Limpopo River Basin\, Southern Africa\, held at national and transboundary levels during the period 2021-2022\, as part of the NERC-funded Connect4WR project. Workshops aimed to co-create management solutions to reduce impacts and increase benefits of drought-flood cycles throughout the Limpopo River Basin. They explored the combination of suitable and widely supported engineering and soft-path management solutions using an iterative\, coproduction process to strengthen bridges between scientists and water management stakeholders at local\, national and transboundary scales. Three specific key questions were considered: (i) How can the increased understanding of historic drought-flood cycles be used for the development of future management scenarios?; (ii) Which processes and communication pathways can be developed or improved between managers/policy makers and local water uses to reduce negative impacts and increase resilience towards drought-flood cycles?; (iii) How can long-term transboundary physical and social connections be built to increase basin-scale resilience to alternating hydrological extremes? The collection contains four datasets: (1) Summary of the transboundary stakeholder interactive sessions run virtually on 2-3 June 2021\, in partnership with LIMCOM\, IWMI and the SADC&#39;s Groundwater Management Institute. (2) Summary of the South Africa stakeholder interactive sessions run virtually on 25 April 2022. (3) Summary of the Botswana stakeholder interactive sessions run virtually and in person (i.e. hybrid) on 5 May 2022. (4) Summary of the Zimbabwe stakeholder interactive sessions run virtually on 12 May 2022.</p>\r\n\r\n<p>The &#39;CONNECT4 water resilience&#39; project brings together a multidisciplinary team of hydrologists and sociologists from academia\, policy and practice in the UK\, Botswana\, South Africa\, Zimbabwe and Mozambique to investigate the physical and societal factors affecting vulnerability and resilience to drought and floods in 4 countries of the Limpopo River Basin (LRB). The research will provide a better understanding of the connectivity within and between physical and social aspects of vulnerability to improve societal preparedness and resilience to flood and drought hazards in arid Sub-Saharan regions. The LRB is an arid\, water-stressed basin\, yet with high susceptibility to floods. It encompasses a large diversity of physical and socio-economical characteristics spread across four countries (Botswana\, South Africa\, Zimbabwe and Mozambique). Floods and droughts have been shown to exacerbate water availability and quality problems and are predicted to increase in frequency and magnitude. We will focus on the challenges and opportunities during floods following droughts in the LRB\, when aquifers and communities are already under stress\, and when appropriate flood management could improve short term coping mechanisms and long-term resilience for future dry seasons. We will explore to what extent geographical differences between sub-regions influence how water resources respond to\, and how people cope with floods and droughts in order to inform appropriate water management strategies at various scales (local to transnational). The research will articulate around three integrated workpackages (WP). WP1 will assess basin-scale hydrological connectivity\, i.e. how droughts and floods propagate in space and time under varying physical conditions (hydrometeorology\, physiography\, geology\, groundwater-surface water interactions)\, with a focus on how the hydrological response of a specific sub-region influences or is influenced by other regions. This will be achieved though implementation of a basin-scale groundwater-surface water modelling approach and based on existing datasets\, in part collected by the project team. Outputs will aid to improve transnational flood and drought monitoring networks and update susceptibility mapping. WP2 will assess the basin-scale social connectivity\, i.e. how drought-flood cycles are understood\, anticipated and worked with by local communities and how these communities interact with governance institutions. This will be achieved by carrying out interviews with diverse community groups and with key community-government intermediaries such as extension officers and catchment management fora. Outputs will contribute to understanding how drought/flood risk is perceived by communities and to develop better communication. WP3 will integrate WP1 and WP2 and will work on the connectivity between social and hydrological systems. It will connect our understanding of multiscale hydrological processes underlying alternating droughts and floods with water resource and risk management\, and societal preparedness pathways. This aims to co-create management solutions to reduce impacts and increase benefits of drought-flood cycles throughout the LRB. It will use an iterative\, co-production process to strengthen crucial bridges between scientists and water management stakeholders on the appropriate scale(s). Research outputs will impact (1) people in the LRB and arid regions through enhanced awareness and preparedness to flood and droughts\, leading to increased resilience; (2) local and regional authorities via improved hydrological monitoring networks and a strengthened connection from local to transnational levels of governance; (3) general public through public engagement activities; (4) international academics via publications and socio-hydrological datasets on public databases\, training of African under- and postgraduate students and development of early career researchers.</p>\r\n"
"Optimizing Water Resources Allocation Under Climate Change Scenarios: A Case of Great Ruaha River Subbasin, Tanzania, 2021","<p>To obtain a free account please <a href=""https://libguides.princeton.edu/UKDS"">register</a> with the UKDA.</p>\r\n\r\n<p>This study undertook extensive fieldwork and data collection in the Rufiji Basin\, conducted from September 27th to October 8th\, 2021. The primary objectives were to introduce the Research Assistants (RA&rsquo;s) and the RESBEN project to the Rufiji Basin Water Board (RBWB)\, establish valuable contacts\, select sample sites for qualitative work\, and gain a comprehensive understanding of the district and catchments under examination. Key aims included the collection of climate data\, hydrological reports\, water abstraction data\, and insights into local irrigation schemes and water abstraction points. The data collected during the first phase encompassed water abstraction records\, rainfall data from 17 stations\, streamflow data from 14 stations\, borehole data including location\, depths\, and yields\, and reservoir data such as turbine discharge\, spillway discharge\, net evaporation\, and elevation-volume curves. The study&#39;s main objective was to optimize water allocation among competing users in the Great Ruaha River subbasin. The research sought to answer critical questions concerning the effects of climate change on water availability\, variations in surface and groundwater potential\, and the optimization of water allocation considering diverse climatic and development circumstances. The study&#39;s results have been effectively shared to water users\, watershed managers\, and other stakeholders via a Systemic Adaptive Management (SAM) workshop.</p>\r\n\r\n<p>Sustainable water resource development remains elusive because development has largely externalized costs to the environment and vulnerable people. There is a need for novel research theory\, methodologies &amp; practice in order to meet the UN SDGs and realise the Africa Water Vision 2025. We propose to launch an innovative research approach: the Adaptive Systemic Approach (ASA). Our aim is to apply transformative\, transdisciplinary\, community-engaged research\, to shift water development outcomes towards achieving the SDGs. We focus on continental water development priorities: water supply and pollution. This collaboration brings together the ARUA Water Centre of Excellence (CoE) and UK partner\, the University of Sheffield (UoS). The 8 CoE nodes are: i) Addis Ababa U\, Ethiopia; U Rwanda\, Rwanda; U Cheikh Anta Diop\, Senegal; Dar es Salaam U\, Tanzania\, Makerere U\, Uganda (DAC least developed); ii) U Lagos\, Nigeria (DAC lower-middle income); and iii) U Cape Town\, Rhodes U (CoE Hub)\, South Africa (DAC upper-middle income). We propose a country-based Case Study structure to support local research development and pathways to local impact (Figure 1 in Case for Support). We use an SDG6 (water and sanitation) centred model\, that links SDGs related to landscape water resources with SDGs related to water services. (This model underpins the successful UKRI:GCRF Capability Grant:&quot;Water for African SDGs&quot;). We raise three research questions (RQ) related to water development priorities. Three catchment-based Case Studies address RQ1: HOW IS WATER USED\, TO WHOSE BENEFIT? (Rufigi R Tanzania\, Senegal R Senegal\, and Blue Nile R Ethiopia). Two Case Studies focus on urban water pollution (Kampala City Uganda and Lagos City Nigeria)\, addressing RQ2: WHAT ARE THE SOURCES\, PATHWAYS AND IMPACT OF POLLUTION IN URBAN WATER SYSTEMS? A cross-cutting Case Study addresses water resource protection and biodiversity in all CSs\, and a biodiversity site in Rwanda. By the completion of the project we commit to leaving local people effectively linked with institutions making decisions about water that affect them. Therefore all Case Studies address the question RQ3: HOW CAN LOCAL CAPACITY TO ENGAGE IN PARTICIPATORY GOVERNANCE BE DEVELOPED FOR: I) EQUITABLE WATER SHARING\, II) COMMUNITY POLLUTION RESILIENCE\, AND III) ECOSYSTEM PROTECTION AND RESTORATION? The novel Adaptive Systemic Approach (ASA) provides a coherent methodological framework that will support Case Study comparisons\, changed water development practice\, and will embed pathways to impact throughout the project. The ASA requires engaged research\, and draws on three core theoretical concepts\, with associated methods: Complex Social-Ecological Systems\, Transdisciplinarity\, and Transformative Social Learning (Elaborated in Case for Support). These concepts underpin four ASA steps\, followed in each Case Study: 1. BOUND: Researchers engage with a full range of stakeholders to identify a relevant\, local\, water-development issue\, and scope the Case Study. 2. ADAPTIVE PLANNING PROCESS: Stakeholders co-create a contextually informed vision of the future state of their selected local issue\, and co-develop an objectives hierarchy to move towards resolving the issue. 3. CONCURRENT ACTIVITIES 3.1 RESEARCH Each Case study team addresses the specific research questions\, delivering data for resolving the problem. 3.2 PARTICIPATORY GOVERNANCE DEVELOPMENT Local people\, formal\, and traditional\, water governance institutions together move towards local people being part of land and water decision-making. 3.3 STRATEGIC ADAPTIVE MANAGEMENT (SAM) - stakeholders will be trained in a process for systemic\, responsive\, contextual\, co-management. 4. PARTICIPATORY MONITORING AND EVALUATION OF REFLEXIVE LEARNING Researchers and stakeholders co-develop indicators\, co-monitor\, co-reflect on progress\, co-learn and adapt\, using SAM. Following the ASA in the case studies embeds the theory of change\, and the pathways to impact.</p>\r\n"
"Resilient Mangrove Systems: Questionnaires, Participatory GIS, and Focus Groups in Mangrove Socio-ecological Systems in the Red River Delta, Vietnam, 2018-2019","<p>To obtain a free account please <a href=""https://libguides.princeton.edu/UKDS"">register</a> with the UKDA. These data were generated in two mangrove socio-ecological systems in the north and south of the Red River Delta with different environmental and socio-economic histories. The research included: a) questionnaires (n=300) with households at each site to quantify household economy and adaptive capacity information and explore spatially explicit perceptions about mangrove ecosystem services; b) in-depth livelihood trajectory interviews (n=20) with households representing different adaptive capacity profiles; c) focus group discussions (n=6) to explore plausible future scenarios that impact the mangrove system with households representing different adaptive capacity profiles; and d) in-depth interviews (n=18) with key informants from relevant Ministries\, local government departments and civic groups. Datasets can be used as stand-alone\, yet richer analysis can be done linking the various sources of information.</p>\r\n\r\n<p>Mangroves provide multiple benefits from carbon storage and shoreline protection at global and national scales\, to food and energy for natural resource-dependent coastal communities at local scale. However\, mangroves are coming under increasing pressure due to land use changes resulting from climate change\, coastal development and aquaculture. In Vietnam the area under mangrove forest declined by 35% between 1983 and 2012\, increasing vulnerability of the coast to tidal surges\, hurricanes and saline intrusion as well as reducing the availability and accessibility of mangrove resources necessary to support livelihoods. Previous research in Vietnam has taken a largely technical approach to the relationship between mangrove protection\, restoration and aquaculture and has not paid adequate attention to socio-economic factors. This research aims to evaluate socio-ecological resilience in Vietnamese mangroves in the Red River Delta and evaluate management options to enhance delivery of benefits and services across multiple scales\, using an interdisciplinary approach that incorporates ecology; remote sensing and GIS; and social research methods on livelihoods and scenario evaluation. By doing so\, this research will contribute to a) the livelihoods and resilience of mangrove dependent communities\, b) the on-going delivery of ecosystem services across scales\, while at the same time c) through stakeholder engagement and knowledge exchange throughout\, building the capacity for conservation and sustainable management of mangroves in Vietnam.</p>\r\n"
Survey of Joseon Rivers / Chosŏn hach'ŏn chosasŏ (1929-yŏn) / [wŏnjŏja Chosŏn Ch'ongdokpu ; pŏnyŏk mit kamsu Han'guk Kŏnsŏl Kisul Yŏn'guwŏn].,<p>Originally published in 1929.</p>\r\n
Economic Growth and the Environment,"<p>Examined the reduced-form relationship between per capita income and various environmental indicators. Covered 4 types of indicators: urban air pollution\, the state of the oxygen regime in river basins\, fecal contamination of river basins\, and contamination of river basins by heavy metals.</p>\r\n"
Ethiopia Nile Basin Climate Change Adaptation Dataset,<p>The household survey was carried out in the Nile River Basin in Ethiopia. The household sampling frame in Ethiopia was developed to ensure representation for the Nile River Basin at the woreda (district) level regarding level of rainfall patterns in terms of both annual total and variation; the 4 classes of traditionally defined agro-ecological zones (AEZs) found in the basin; vulnerability of food production systems (through the proxy of frequency of food aid in the past 10 years); and irrigation prevalence.</p>\r\n
"  Post-Distribution Monitoring of Cash-Based Intervention  Nigeria, (2019, 2020, 2022)","<p>The UNHCR conducted a Cash-Based Intervention (CBI) in mid-2022 for refugees in Ogoja and Kwande\, Cross River and Benue States\, Nigeria. This post-distribution monitoring survey\, carried out from August 5 to 9\, 2022\, aimed to evaluate the intervention&rsquo;s effectiveness and efficiency. Data was collected from over 800 beneficiary households (207 in Kwande and 623 in Ogoja)\, distributed by household size. Data collection used stratified random sampling and face-to-face interviews\, ensuring comprehensive feedback for program monitoring and improvement.&nbsp;</p>\r\n\r\n<p>In late December 2021\, the UNHCR provided cash assistance for food to 20\,000 Cameroonian refugees in Ogoja and Ikyogen (Cross River and Benue States)\, followed by bank transfers to another 4\,000 refugee families in early January 2022. This Cash-Based Intervention (CBI) aimed to mitigate the social and economic impacts of COVID-19. A Post-Distribution Monitoring survey was conducted from March 1 to 12\, 2022\, interviewing over 800 heads of beneficiary households to assess the intervention&amp;#039;s effectiveness and efficiency. Data was collected using stratified random sampling and face-to-face interviews\, ensuring comprehensive feedback for program monitoring and improvement.</p>\r\n\r\n<p>The Cash-Based Interventions (CBI) Post-Distribution Monitoring (PDM) survey collects data on refugee households that received cash assistance in the Nigerian states of Cross River and Benue. The survey records information from over 750 households across settlements\, including Ikyogen\, Adagom 1\, 2\, 3\, and Okende. It provides insights into how the cash assistance was utilized and the overall impact on household needs. Conducted in August 2020\, the survey informs future UNHCR interventions. The data were collected through face-to-face interviews using a cluster-stratified sampling approach and anonymized to protect personal information.</p>\r\n\r\n<p>The dataset captures the outcomes of a post-distribution monitoring survey conducted by UNHCR in December 2019. The survey evaluated the impact of the second cash-assistance intervention provided to refugees in Ogoja and Kwande\, located in Cross River and Benue States\, Nigeria. The cash-assistance aimed to support various refugee needs\, including food\, shelter\, non-food items\, health\, and education. Over 950 households were interviewed between December 15-18\, 2019\, using a face-to-face interview technique. The data collection followed a stratified random sampling procedure\, focusing on location and household size. The primary purpose of the dataset is to monitor and evaluate the effectiveness of the cash-based interventions under UNHCR&amp;#039;s protection mandate. This dataset serves as a crucial resource for program monitoring\, operational planning\, and understanding the needs and outcomes of cash-assistance programs for refugees in Nigeria.</p>\r\n\r\n<p>The Cash-Based Interventions Post-Distribution Monitoring contains data from a post-distribution monitoring survey conducted by UNHCR in Nigeria between July 25th and 30th\, 2019. The survey assessed the effectiveness of cash-based interventions (CBI) provided to refugees in settlements across Cross River and Benue States. The data includes responses from over 1\,140 beneficiaries\, gathered through face-to-face interviews. It aims to evaluate the impact of the cash assistance on recipients&amp;#039; economic inclusion and well-being.</p>\r\n\r\n<p>&nbsp;</p>\r\n"
"Using Participatory Approaches To Instigate Improvements in Water Quality, 2021-2022","<p>The &lsquo;UpStream&rsquo; project was co-created\, co-developed and co-delivered with two active community groups in the UK (Friends of Bradford&#39;s Becks) and Taiwan (Taiwan Clean Water Alliance) who both were concerned about water pollution in their local rivers. The project has provided a testbed to achieve the aim of the project of aiding citizen scientists better understand local water quality. This has led to the development and deployment of a cost-effective Continuous Water Quality Monitoring device\, the WaterBox\, along with methods for transmitting\, storing\, visualising\, and analysing the data collected. Parameters collected include: pH\, temperature\, conductivity and turbidity. A total of 104 practicalities of continuous water quality monitoring were observed and categorised as either technical\, social\, economic or wider responsibilities. These have been summarised in a publication that is current;y under review.</p>\r\n\r\n<p>The UpStream project aims to improve water quality in the UK and Taiwan by working with citizens to gather data\, share knowledge and experiences\, and develop new technologies. Motivated by environmental issues already identified by the public\, this participatory project will increase connectivity and action across a range of organisations and community groups. Both the UK and Taiwan have problems with pollution of rivers. Across Europe\, laws state that river water quality should not be impacted by human activity\, but latest assessments suggest that just 38% of waters meet this standard. In Taiwan\, rapid industrialisation and economic growth have had an impact on water pollution. In 2016\, 65% of Taiwanese rivers were classed as moderately polluted. As economic growth stabilises and society evolves\, attention is shifting to water quality issues; tighter water quality standards have been set and are incorporated into the government&#39;s Forward-looking Infrastructure plan. In both the UK and Taiwan citizens feel strongly about water quality\, and have founded local community action groups to instigate improvements. The UpStream project aims to improve water quality in the UK and Taiwan by creating an innovative partnership between these community groups and a range of academic and non-academic organisations to gather data\, share knowledge and experiences\, and develop new technologies. The project partners from Taiwan (Academia Sinica\, NTU and Location Aware Sensing System (LASS)) are experts in creating innovative technology with citizens that leads to real environmental improvements. They have developed low-cost air quality sensors that are now installed in 4\,000 locations across Taiwan\, and that feed into apps to help citizens avoid air pollution. Our UK partners at Newcastle University\, Rain++ and RPS are experts in mobilising citizen science to address water problems. They have worked with the public on water issues in the UK and internationally for over 15 years. Our new and unique partnership will combine Taiwanese expertise in co-creating technology with citizens with UK expertise in water to empower citizens in both countries to improve water quality. Lack of water quality data to identify sources of pollution is a common problem in both countries\, and our project aims to fix that. Benefits and direct outputs of the activities planned through the project will include: -Community groups will benefit from technical advice and a new\, international support network. -A natural legacy for citizen-led environmental management through the involvement of students and community groups. -The involvement of tech start-ups that can provide insights into water quality\, through their inclusion in the project team (LASS\, Rain++\, FondUS). -Any data or tools created through the project will follow open data protocols\, making them accessible to local communities\, interested researchers and businesses. The co-production of data (evidence) and tools will empower community groups to manage their local environment alongside relevant organisations after the project has ended. -Policy makers and regulators will have access to the open data collected through our project and will participate in talks through the project\, helping to initiate change. -A prototype data visualisation and analysis tool\, to aid understanding of water quality issues. -A scope for follow-on work\, to continue the work of our unique partnership. Whilst the legislative and societal contexts differ\, Taiwan and the UK (and beyond) share common challenges with river pollution. Both have citizens that want to get involved and see change. The UpStream project aims to help by bringing together citizens with academic and industry partners for knowledge-exchange and long-term support.</p>\r\n"
