files,size,comp_size,line_count,line_length,part,file_type_a,file_type_tech,flag_one,flag_two,note,study_num,permission,legacy_id,timestamp,original_study_id
"UrbanRuralAreas",1493504,NULL,NULL,NULL,NULL,"Data","Excel",NULL,NULL,NULL,3025,NULL,8154,"2008-06-25 13:24:06",3256
"about19.txt",1723,NULL,NULL,NULL,NULL,"Readme","Text",NULL,NULL,NULL,19,"-rw-r--r--",21,"2007-11-29 09:45:36",19
"crd.cdbk.gz",74174,NULL,NULL,NULL,"CSEP","Codebook","Text",NULL,NULL,NULL,19,"-rw-r--r--",22,"2007-11-29 09:48:36",19
"feddist.sas.export.gz",2116120,NULL,NULL,NULL,"Federal Districts","Data","SAS Export",NULL,NULL,NULL,19,"-rw-r--r--",23,"2004-06-11 14:52:02",19
"feddist.spss.portable.gz",1494396,NULL,NULL,NULL,"Federal Districts","Data","SPSS Portable",NULL,NULL,NULL,19,"-rw-r--r--",24,"2004-06-11 14:52:02",19
"file3.sas.export.gz",830521,NULL,NULL,NULL,"CSEP File 3","Data","SAS Export",NULL,NULL,NULL,19,"-rw-r--r--",25,"2004-06-11 14:52:02",19
"file3.spss.portable.gz",582695,NULL,NULL,NULL,"CSEP File 3","Data","SPSS Portable",NULL,NULL,NULL,19,"-rw-r--r--",26,"2004-06-11 14:52:02",19
"file4.sas.export.gz",1752491,NULL,NULL,NULL,"CSEP File 4","Data","SAS Export",NULL,NULL,NULL,19,"-rw-r--r--",27,"2004-06-11 14:52:02",19
"file4.spss.portable.gz",1334934,NULL,NULL,NULL,"CSEP File 4","Data","SPSS Portable",NULL,NULL,NULL,19,"-rw-r--r--",28,"2004-06-11 14:52:02",19
"lvl50.all.data.gz",1816122,NULL,NULL,NULL,"CSEP Master File","Data","Text",NULL,NULL,NULL,19,"-rw-r--r--",29,"2007-11-29 09:48:40",19
"prn.cdbk.gz",118419,NULL,NULL,NULL,"CSEP","Codebook","ASCII",NULL,NULL,NULL,19,"-rw-r--r--",30,"2004-06-11 14:52:02",19
"smsa.sas.export.gz",740710,NULL,NULL,NULL,"CSEP SMSA","Data","SAS Export",NULL,NULL,NULL,19,"-rw-r--r--",31,"2004-06-11 14:52:02",19
"smsa.spss.portable.gz",524556,NULL,NULL,NULL,"CSEP SMSA","Data","SPSS Portable",NULL,NULL,NULL,19,"-rw-r--r--",32,"2004-06-11 14:52:02",19
"upr.cdbk.gz",101123,NULL,NULL,NULL,"CSEP","Codebook","ASCII",NULL,NULL,NULL,19,"-rw-r--r--",33,"2004-06-11 14:52:02",19
"usfile.sas.export.gz",1211998,NULL,NULL,NULL,"CSEP U.S. File","Data","SAS Export",NULL,NULL,NULL,19,"-rw-r--r--",34,"2004-06-11 14:52:02",19
"usfile.spss.portable.gz",867753,NULL,NULL,NULL,"CPEP U.S. File","Data","SPSS Portable",NULL,NULL,NULL,19,"-rw-r--r--",35,"2004-06-11 14:52:02",19
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Need to recat & get codebook",20,NULL,36,"2004-06-11 14:52:02",20
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,37,"2004-06-11 14:52:02",21
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,38,"2004-06-11 14:52:02",22
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,39,"2004-06-11 14:52:02",23
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL,40,"2004-06-11 14:52:02",24
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,"-rwxrwxr--",41,"2006-02-24 08:57:30",25
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL,43,"2004-06-11 14:52:02",26
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,NULL,44,"2004-06-11 14:52:02",27
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,45,"2004-06-11 14:52:02",28
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,46,"2004-06-11 14:52:02",29
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,47,"2004-06-11 14:52:02",30
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,NULL,48,"2004-06-11 14:52:02",31
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,49,"2004-06-11 14:52:02",32
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,50,"2004-06-11 14:52:02",33
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,51,"2004-06-11 14:52:02",34
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,52,"2004-06-11 14:52:02",35
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,NULL,53,"2004-06-11 14:52:02",36
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"need to recat",37,NULL,54,"2004-06-11 14:52:02",37
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,NULL,55,"2004-06-11 14:52:02",38
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,NULL,56,"2004-06-11 14:52:02",39
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,57,"2004-06-11 14:52:02",40
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,NULL,58,"2004-06-11 14:52:02",41
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Need to recat & get codebook",42,NULL,59,"2004-06-11 14:52:02",42
"aideaths.gz",NULL,NULL,NULL,NULL,"Individual Records of Deaths",NULL,"Text",NULL,NULL,NULL,43,"-rwxrwxr--",60,"2007-11-15 10:05:45",43
"aipops.gz",NULL,NULL,NULL,NULL,"Populations by by Age and Sex",NULL,"Text",NULL,NULL,NULL,43,"-rwxrwxr--",61,"2007-11-15 10:05:45",43
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"recat",44,"-rwxrwxr--",62,"2006-05-26 15:21:35",44
