key_term_id,"key_term","key_time","Description","type",region
1,"Religion","2006-06-28 12:23:21",,"S",
2,"Politics, Elections, Governing Bodies","2007-09-23 14:50:22",,"S",
3,"Sexual Attitudes, Orientation & Behavior","2007-12-12 11:32:03",,"S",
4,"Health","2007-12-12 11:25:10",,"S",
5,"Canada","2004-09-03 09:55:20",,"R",
6,"Mental health","2007-09-23 15:22:23",,"S",4
7,"Education","2004-09-03 09:54:00",,"S",
8,"Labor","2013-05-15 10:36:32",,"S",
9,"Social Attitudes & Values","2007-12-12 11:27:34",,"S",
10,"Oceania","2004-09-03 10:29:49",,"R",
11,"Europe","2004-09-03 09:55:05",,"R",
12,"Asia","2004-09-03 09:55:07",,"R",
13,"Latin America & the Carribean","2007-12-12 11:29:00",,"R",
14,"Africa","2004-09-03 09:55:11",,"R",
15,"Multinational/Crossnational","2007-12-12 11:28:28",,"R",
41,"Population, Demography, Fertility, Migration","2008-10-17 15:07:50",,"S",
20,"Crime","2016-11-10 12:24:44",,"S",
21,"Longitudinal Surveys","2007-12-12 11:25:54",,"S",
22,"China","2006-05-31 17:05:56",,"R",12
23,"Children & Families","2007-12-12 11:24:29",,"S",
24,"Public Opinion","2016-11-10 11:02:30",,"S",
25,"Race, Ethnicity, Ethnic relations","2007-12-12 11:26:23",,"S",
28,"Community & Urban Studies","2007-12-12 11:24:39",,"S",
27,"Women & Gender","2007-12-12 11:31:21",,"S",
29,"United States","2004-09-03 09:55:29",,"R",
30,"Australia & New Zealand","2007-12-12 11:22:19",,"R",
31,"Middle East","2004-09-03 10:27:20",,"R",
35,"Frequently used data","2004-12-08 16:08:13",,"S",
36,"Young Adults","2007-12-12 11:27:47",,"S",
37,"Science, Technology, Computers, Internet","2007-12-12 11:30:19",,"S",
38,"Art, Culture, & Leisure","2010-07-26 15:17:59",,"S",
39,"Macroeconomic Statistics","2007-09-23 15:20:17",,"S",
40,"Finance","2005-08-19 16:39:07",,"S",
42,"Philippines","2006-05-31 17:05:48",,"R",12
43,"Taiwan","2007-09-24 13:59:30",,"R",12
44,"Palestine","2006-06-29 09:47:54",,"R",31
45,"United Kingdom","2007-09-14 09:41:13",,"R",11
46,"Elections","2007-09-14 09:33:01",,"S",2
47,"Conflicts, Wars, Terrorism","2010-09-13 11:21:07",,"S",
48,"Consumer Spending & Finance","2008-10-15 13:58:19",,"S",
49,"Mexico","2007-09-15 12:34:42",,"R",13
50,"Brazil","2007-09-15 12:59:55",,"R",13
51,"Peru","2007-09-15 13:13:46",,"R",13
52,"Italy","2007-09-15 13:34:16",,"R",11
53,"Germany","2007-09-15 13:37:58",,"R",11
54,"Russia","2007-09-15 13:51:14",,"R",11
55,"France","2007-09-15 13:51:29",,"R",11
56,"Japan","2007-09-15 14:07:50",,"R",12
57,"India","2007-09-15 14:18:01",,"R",12
58,"South Africa","2007-09-15 14:29:42",,"R",14
59,"Indonesia","2007-09-16 11:49:44",,"R",12
60,"South Korea","2007-09-16 11:49:56",,"R",12
61,"Thailand","2007-09-16 11:50:16",,"R",12
62,"Pakistan","2007-09-17 14:37:41",,"R",12
63,"Malaysia","2007-09-17 14:37:49",,"R",12
64,"Bangladesh","2007-09-17 14:37:59",,"R",12
65,"Vietnam","2007-09-17 14:38:16",,"R",12
66,"Turkey","2007-09-17 15:07:11",,"R",11
67,"Spain","2007-09-17 15:07:20",,"R",11
68,"Netherlands","2007-09-17 15:07:33",,"R",11
69,"Finland","2007-09-17 15:07:43",,"R",11
70,"Denmark","2007-09-17 15:07:52",,"R",11
71,"Iceland","2007-09-17 15:08:01",,"R",11
72,"Norway","2007-09-17 15:08:08",,"R",11
73,"Switzerland","2007-09-17 15:08:22",,"R",11
