key_term_id,"key_term","key_time","Description","type",region
1,"Religion","2006-06-28 12:23:21",NULL,"S",NULL
2,"Politics, Elections, Governing Bodies","2007-09-23 14:50:22",NULL,"S",NULL
3,"Sexual Attitudes, Orientation & Behavior","2007-12-12 11:32:03",NULL,"S",NULL
4,"Health","2007-12-12 11:25:10",NULL,"S",NULL
5,"Canada","2004-09-03 09:55:20",NULL,"R",NULL
6,"Mental health","2007-09-23 15:22:23",NULL,"S",4
7,"Education","2004-09-03 09:54:00",NULL,"S",NULL
8,"Labor","2013-05-15 10:36:32",NULL,"S",NULL
9,"Social Attitudes & Values","2007-12-12 11:27:34",NULL,"S",NULL
10,"Oceania","2004-09-03 10:29:49",NULL,"R",NULL
11,"Europe","2004-09-03 09:55:05",NULL,"R",NULL
12,"Asia","2004-09-03 09:55:07",NULL,"R",NULL
13,"Latin America & the Carribean","2007-12-12 11:29:00",NULL,"R",NULL
14,"Africa","2004-09-03 09:55:11",NULL,"R",NULL
15,"Multinational/Crossnational","2007-12-12 11:28:28",NULL,"R",NULL
41,"Population, Demography, Fertility, Migration","2008-10-17 15:07:50",NULL,"S",NULL
20,"Crime & Justice","2007-12-12 11:24:25",NULL,"S",NULL
21,"Longitudinal Surveys","2007-12-12 11:25:54",NULL,"S",NULL
22,"China","2006-05-31 17:05:56",NULL,"R",12
23,"Children & Families","2007-12-12 11:24:29",NULL,"S",NULL
24,"Public Opinion Polls","2010-10-01 08:26:02",NULL,"S",NULL
25,"Race, Ethnicity, Ethnic relations","2007-12-12 11:26:23",NULL,"S",NULL
28,"Community & Urban Studies","2007-12-12 11:24:39",NULL,"S",NULL
27,"Women & Gender","2007-12-12 11:31:21",NULL,"S",NULL
29,"United States","2004-09-03 09:55:29",NULL,"R",NULL
30,"Australia & New Zealand","2007-12-12 11:22:19",NULL,"R",NULL
31,"Middle East","2004-09-03 10:27:20",NULL,"R",NULL
35,"Frequently used data","2004-12-08 16:08:13",NULL,"S",NULL
36,"Young Adults","2007-12-12 11:27:47",NULL,"S",NULL
37,"Science, Technology, Computers, Internet","2007-12-12 11:30:19",NULL,"S",NULL
38,"Art, Culture, & Leisure","2010-07-26 15:17:59",NULL,"S",NULL
39,"Macroeconomic Statistics","2007-09-23 15:20:17",NULL,"S",NULL
40,"Finance","2005-08-19 16:39:07",NULL,"S",NULL
42,"Philippines","2006-05-31 17:05:48",NULL,"R",12
43,"Taiwan","2007-09-24 13:59:30",NULL,"R",12
44,"Palestine","2006-06-29 09:47:54",NULL,"R",31
45,"United Kingdom","2007-09-14 09:41:13",NULL,"R",11
46,"Elections","2007-09-14 09:33:01",NULL,"S",2
47,"Conflicts, Wars, Terrorism","2010-09-13 11:21:07",NULL,"S",NULL
48,"Consumer Spending & Finance","2008-10-15 13:58:19",NULL,"S",NULL
49,"Mexico","2007-09-15 12:34:42",NULL,"R",13
50,"Brazil","2007-09-15 12:59:55",NULL,"R",13
51,"Peru","2007-09-15 13:13:46",NULL,"R",13
52,"Italy","2007-09-15 13:34:16",NULL,"R",11
53,"Germany","2007-09-15 13:37:58",NULL,"R",11
54,"Russia","2007-09-15 13:51:14",NULL,"R",11
55,"France","2007-09-15 13:51:29",NULL,"R",11
56,"Japan","2007-09-15 14:07:50",NULL,"R",12
57,"India","2007-09-15 14:18:01",NULL,"R",12
58,"South Africa","2007-09-15 14:29:42",NULL,"R",14
59,"Indonesia","2007-09-16 11:49:44",NULL,"R",12
60,"South Korea","2007-09-16 11:49:56",NULL,"R",12
61,"Thailand","2007-09-16 11:50:16",NULL,"R",12
62,"Pakistan","2007-09-17 14:37:41",NULL,"R",12
63,"Malaysia","2007-09-17 14:37:49",NULL,"R",12
